date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-29,low,7,True,08:51,5.0,1.0,07:51,1.0,07:51,2026-01-29T14:51:00+00:00,2026-01-29T13:51:00+00:00
2026-01-30,low,7,True,08:09,11.0,6.0,01:51,6.0,01:51,2026-01-30T14:09:00+00:00,2026-01-30T07:51:00+00:00
2026-01-31,low,7,True,08:26,16.0,11.0,00:51,11.0,00:51,2026-01-31T14:26:00+00:00,2026-01-31T06:51:00+00:00
2026-02-01,low,7,True,08:51,15.0,8.0,06:51,8.0,06:51,2026-02-01T14:51:00+00:00,2026-02-01T12:51:00+00:00
2026-02-02,low,7,True,08:28,24.0,21.2,00:46,21.0,22:51,2026-02-02T14:28:00+00:00,2026-02-03T04:51:00+00:00
2026-02-03,low,7,True,08:51,20.0,16.0,07:51,16.0,07:51,2026-02-03T14:51:00+00:00,2026-02-03T13:51:00+00:00
2026-02-04,low,7,True,08:51,21.0,16.0,00:51,16.0,00:51,2026-02-04T14:51:00+00:00,2026-02-04T06:51:00+00:00
2026-02-05,low,7,True,08:09,21.0,16.0,00:51,16.0,00:51,2026-02-05T14:09:00+00:00,2026-02-05T06:51:00+00:00
2026-02-06,low,7,True,08:51,33.0,29.0,00:51,18.0,23:51,2026-02-06T14:51:00+00:00,2026-02-07T05:51:00+00:00
2026-02-07,low,7,True,08:51,15.0,12.0,04:51,12.0,04:51,2026-02-07T14:51:00+00:00,2026-02-07T10:51:00+00:00
2026-02-08,low,7,True,08:51,23.0,21.0,05:51,21.0,05:51,2026-02-08T14:51:00+00:00,2026-02-08T11:51:00+00:00
2026-02-09,low,7,True,08:51,25.0,22.0,06:51,22.0,06:51,2026-02-09T14:51:00+00:00,2026-02-09T12:51:00+00:00
2026-02-10,low,7,True,08:51,39.0,37.0,00:51,31.0,23:51,2026-02-10T14:51:00+00:00,2026-02-11T05:51:00+00:00
2026-02-11,low,7,True,08:51,29.0,26.0,05:51,26.0,05:51,2026-02-11T14:51:00+00:00,2026-02-11T11:51:00+00:00
2026-02-12,low,7,True,08:51,30.0,25.0,06:51,25.0,06:51,2026-02-12T14:51:00+00:00,2026-02-12T12:51:00+00:00
2026-02-13,low,7,True,08:51,35.0,25.0,00:51,25.0,00:51,2026-02-13T14:51:00+00:00,2026-02-13T06:51:00+00:00
2026-02-14,low,7,True,08:51,35.0,29.0,06:51,29.0,06:51,2026-02-14T14:51:00+00:00,2026-02-14T12:51:00+00:00
